"VariableID";"VariableName"
4958;"Allendebruecke / Spree:V1"
4959;"Allendebruecke / Spree:VM"
4960;"Allendebruecke / Spree:W1"
4526;"Alsenbrücke:B1"
4527;"Alsenbrücke:QS"
4562;"Alsenbrücke:ST"
4564;"Alsenbrücke:U"
4563;"Alsenbrücke:V1"
4529;"Alsenbrücke:VM"
4528;"Alsenbrücke:W1"
5461;"Alsenbrücke:W1+PN"
5257;"Am Bürgerpark / Panke:B1"
5258;"Am Bürgerpark / Panke:B2"
5259;"Am Bürgerpark / Panke:B3"
4530;"Am Bürgerpark / Panke:QS"
4535;"Am Bürgerpark / Panke:ST"
5260;"Am Bürgerpark / Panke:T1"
5261;"Am Bürgerpark / Panke:U"
5262;"Am Bürgerpark / Panke:V1"
5263;"Am Bürgerpark / Panke:V2"
5264;"Am Bürgerpark / Panke:V3"
5265;"Am Bürgerpark / Panke:VM"
4531;"Am Bürgerpark / Panke:W1"
5472;"Am Bürgerpark / Panke:W1+PN"
4532;"Am Bürgerpark / Panke:W2"
4634;"BBGes BSSK Guete:BSSK-LF"
4635;"BBGes BSSK Guete:BSSK-O2"
4636;"BBGes BSSK Guete:BSSK-pH"
4637;"BBGes BSSK Guete:BSSK-T"
4661;"BBGes BSSK Guete:Ub"
4663;"BBGes Caprivibr. Guete:Capri-LF"
4674;"BBGes Caprivibr. Guete:Capri-O2"
4675;"BBGes Caprivibr. Guete:Capri-pH"
4676;"BBGes Caprivibr. Guete:Capri-T"
4677;"BBGes Caprivibr. Guete:Ub"
4664;"BBGes LWK Guete:LWK-LF"
4678;"BBGes LWK Guete:LWK-O2"
4679;"BBGes LWK Guete:LWK-pH"
4680;"BBGes LWK Guete:LWK-T"
4681;"BBGes LWK Guete:Ub"
4665;"BBGes MSD Schmoeckw. Guete:MSD-LF"
4682;"BBGes MSD Schmoeckw. Guete:MSD-O2"
4683;"BBGes MSD Schmoeckw. Guete:MSD-pH"
4684;"BBGes MSD Schmoeckw. Guete:MSD-T"
4685;"BBGes MSD Schmoeckw. Guete:Ub"
4666;"BBGes MSM Muehlend. Guete:LF"
4686;"BBGes MSM Muehlend. Guete:O2"
4687;"BBGes MSM Muehlend. Guete:pH"
4688;"BBGes MSM Muehlend. Guete:T"
4689;"BBGes MSM Muehlend. Guete:Ub"
4690;"BBGes MSR Rahnsdorf Guete:LF"
4691;"BBGes MSR Rahnsdorf Guete:O2"
4692;"BBGes MSR Rahnsdorf Guete:pH"
4693;"BBGes MSR Rahnsdorf Guete:T"
4697;"BBGes MSR Rahnsdorf Guete:Ub"
4667;"BBGes NSK Guete:LF"
4706;"BBGes NSK Guete:O2"
4707;"BBGes NSK Guete:pH"
4710;"BBGes NSK Guete:T"
4712;"BBGes NSK Guete:Ub"
4668;"BBGes Sophienwerder Guete:LF"
5395;"BBGes Sophienwerder Guete:O2"
4700;"BBGes Sophienwerder Guete:PH"
4718;"BBGes Sophienwerder Guete:Temp"
4672;"BBGes Teltow-Werft Guete:LF"
4717;"BBGes Teltow-Werft Guete:O2"
4727;"BBGes Teltow-Werft Guete:pH"
4701;"BBGes Teltow-Werft Guete:T"
4730;"BBGes Teltow-Werft Guete:Ub"
4670;"BBGes TK Teltowkanal Guete:LF"
4742;"BBGes TK Teltowkanal Guete:O2"
4702;"BBGes TK Teltowkanal Guete:pH"
4703;"BBGes TK Teltowkanal Guete:T"
4705;"BBGes TK Teltowkanal Guete:Ub"
6148;"Biesdorfer Baggersee:W1"
4671;"Charlottenburg_Guete:LF"
4770;"Charlottenburg_Guete:o2_abs"
4771;"Charlottenburg_Guete:o2_perc"
4709;"Charlottenburg_Guete:pH"
4708;"Charlottenburg_Guete:Temperatur"
4662;"Eisenbahnbruecke / Nordgraben:B1"
4737;"Eisenbahnbruecke / Nordgraben:B2"
4534;"Eisenbahnbruecke / Nordgraben:QS"
4536;"Eisenbahnbruecke / Nordgraben:QT"
4740;"Eisenbahnbruecke / Nordgraben:ST"
4753;"Eisenbahnbruecke / Nordgraben:T1"
5833;"Eisenbahnbruecke / Nordgraben:U"
4747;"Eisenbahnbruecke / Nordgraben:v1"
4749;"Eisenbahnbruecke / Nordgraben:v2"
5834;"Eisenbahnbruecke / Nordgraben:VM"
4537;"Eisenbahnbruecke / Nordgraben:W1"
5483;"Eisenbahnbruecke / Nordgraben:W1+PN"
4538;"Eisenbahnbruecke / Nordgraben:W2"
4716;"Faehre Rahnsdorf:Ub"
4539;"Faehre Rahnsdorf:W1"
5499;"Faehre Rahnsdorf:W1+PN"
4777;"Freybruecke / Havel:B1"
4778;"Freybruecke / Havel:QS"
4780;"Freybruecke / Havel:ST"
4781;"Freybruecke / Havel:T1"
4787;"Freybruecke / Havel:U"
4789;"Freybruecke / Havel:V1"
4791;"Freybruecke / Havel:VM"
4797;"Freybruecke / Havel:W1"
5487;"Freybruecke / Havel:W1+PN"
4809;"Freybruecke / Havel:Wasserstand"
4720;"Grunewaldsee (Q-Log mini-I):Ub"
4767;"Grunewaldsee (Q-Log mini-I):Ux"
4643;"Grunewaldsee (Q-Log mini-I):W"
6149;"Hegemeisterweg:W1"
4769;"Heinersdorf:Temp"
4772;"Heinersdorf:U"
4673;"Heinersdorf:W"
6150;"Hundekehlesee:W1"
4796;"Krontaler Str.:Ub"
4540;"Krontaler Str.:W1"
5500;"Krontaler Str.:W1+PN"
4773;"Krontaler Str.:Wasserstand"
4811;"Krumme Lanke:Ub"
4542;"Krumme Lanke:W1"
5501;"Krumme Lanke:W1+PN"
4812;"Krumme Lanke:Wasserstand"
4813;"Kuehnemannstr.:Ub"
4541;"Kuehnemannstr.:W1"
5502;"Kuehnemannstr.:W1+PN"
4814;"Kuehnemannstr.:Wasserstand"
5028;"Lichterfelde / Teltowkanal:B1"
5030;"Lichterfelde / Teltowkanal:QS"
5033;"Lichterfelde / Teltowkanal:ST"
5034;"Lichterfelde / Teltowkanal:T1"
5038;"Lichterfelde / Teltowkanal:U"
5041;"Lichterfelde / Teltowkanal:V1"
5044;"Lichterfelde / Teltowkanal:VM"
4816;"Lichterfelde / Teltowkanal:W1"
5488;"Lichterfelde / Teltowkanal:W1+PN"
5845;"Lübars / Tegeler Fließ:Ub"
5846;"Lübars / Tegeler Fließ:Ux"
4651;"Lübars / Tegeler Fließ:W1"
5832;"Lübars / Tegeler Fließ:W1+PN"
6151;"Neukoelln OP:W1"
6152;"Neukoelln UP:W1"
4798;"Pasewalker Bruecke:Ub"
4543;"Pasewalker Bruecke:W1"
5503;"Pasewalker Bruecke:W1+PN"
4817;"Pfaueninsel:Ub"
4544;"Pfaueninsel:W1"
5504;"Pfaueninsel:W1+PN"
4820;"Pfaueninsel:Wasserstand"
4821;"Röntgental:Ub"
4545;"Röntgental:W1"
5505;"Röntgental:W1+PN"
4822;"Röntgental:Wasserstand"
6153;"Schaefersee:W1"
4823;"Schmoeckwitz Q / Koepenick:B1"
4826;"Schmoeckwitz Q / Koepenick:B2"
4828;"Schmoeckwitz Q / Koepenick:B3"
4546;"Schmoeckwitz Q / Koepenick:QS"
4830;"Schmoeckwitz Q / Koepenick:ST"
4833;"Schmoeckwitz Q / Koepenick:U"
4835;"Schmoeckwitz Q / Koepenick:V1"
4837;"Schmoeckwitz Q / Koepenick:V2"
4839;"Schmoeckwitz Q / Koepenick:V3"
4842;"Schmoeckwitz Q / Koepenick:VM"
5491;"Schmoeckwitz Q / Koepenick:W+PN"
4547;"Schmoeckwitz Q / Koepenick:W1"
4857;"Schmöckwitz Pegel:Ub"
4548;"Schmöckwitz Pegel:W1"
5506;"Schmöckwitz Pegel:W1+PN"
4844;"Sophienwerder / Spree:B1"
4845;"Sophienwerder / Spree:B2"
4846;"Sophienwerder / Spree:Durchfluss"
4549;"Sophienwerder / Spree:QS"
4847;"Sophienwerder / Spree:ST"
4848;"Sophienwerder / Spree:T1"
5839;"Sophienwerder / Spree:U"
4849;"Sophienwerder / Spree:V1"
4850;"Sophienwerder / Spree:V2"
4852;"Sophienwerder / Spree:VM"
4550;"Sophienwerder / Spree:W1"
5492;"Sophienwerder / Spree:W1+PN"
4854;"Sophienwerder / Spree:Wasserstand"
5843;"Sophienwerder_Optosens:Ammonium-Stickstoff"
5842;"Sophienwerder_Optosens:DOC"
5859;"Sophienwerder_Optosens:Kalium"
5844;"Sophienwerder_Optosens:Nitrat-Stickstoff"
5860;"Sophienwerder_Optosens:Temperatur"
5958;"Sophienwerder_Optosens:Temperatur (U-Schall)"
4861;"St. Joseph Steg:Ub"
4868;"St. Joseph Steg:Ux"
4556;"St. Joseph Steg:W1"
5507;"St. Joseph Steg:W1+PN"
4864;"St. Joseph Steg:Wasserstand"
